name,price,rarity,wEffect,eEffect,obtainFrom
Arrowhead,120,N/A,N/A,N/A,Foraging Minigame (Arcadia:Spring + Winter)
Blade Shard,245,N/A,N/A,N/A,Foraging Minigame (Arcadia:Winter)
Bracelet,2000,N/A,N/A,N/A,Mining Minigame (Hoe)
Brick,50,N/A,N/A,N/A,Mining Minigame (Hammer) + Foraging Minigame (Arcadia:Summer + Winter)
Broken Box,600,N/A,N/A,N/A,Foraging Minigame (Arcadia:Fall + Winter)
Broken Hilt,540,N/A,N/A,N/A,Foraging Minigame (Arcadia:Winter)
Brooch,2000,N/A,N/A,N/A,Mining Minigame (Hoe)
Glitta Augite,1500,UNCOMMON,ALL STATS +1,ALL STATS +1,Foraging Minigame (Arcadia:Any Season)
Hammer Piece,640,N/A,N/A,N/A,Foraging Minigame (Arcadia:Winter)
Large Money Bag,1500,N/A,N/A,N/A,Mining Minigame (Hoe)
Medium Money Bag,800,N/A,N/A,N/A,Mining Minigame (Hoe)
Necklace,2000,N/A,N/A,N/A,Mining Minigame (Hoe)
Old Coin,150,N/A,N/A,N/A,Mining Minigame (Hammer)
Perfume,500,N/A,N/A,N/A,Mining Minigame (Hoe)
Sakura Seashell,670,UNCOMMON,30% Chance of dealing Stun,30% Chance of resisting Stun if HIT with it,Foraging Minigame (Arcadia:Any Season)
Shiny Coin,500,N/A,N/A,N/A,Mining Minigame (Hammer)
Small Money Bag,300,N/A,N/A,N/A,Mining Minigame (Hoe)
Sun Block,20,N/A,N/A,N/A,Mining Minigame (Hoe)
Strong Vine,560,N/A,N/A,N/A,Foraging Minigame (Arcadia:Spring + Summer + Fall + Elysia)
Vine,390,N/A,N/A,N/A,Foraging Minigame (Arcadia:Spring + Fall + Elysia)
Weed,5,N/A,N/A,N/A,Foraging Minigame (Arcadia:Summer + Fall + Winter + Elysia)